Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:01:00.224000,0 days 01:57:26.316000,3946.6471706861194,186.08214034285714,10158.807087542857,5,81.27142582857142,False,0,2546.0,5744.0,1906.0
0 days 00:01:00.344000,0 days 01:57:26.436000,3953.151149596662,190.79642605714287,10262.521373257143,5,86.41428297142858,False,0,2545.0,5681.0,1905.0
0 days 00:01:00.451000,0 days 01:57:26.543000,3958.997222222222,195.0,10355.0,5,91.0,False,0,2543.0079938472636,5623.9333384608835,1904.814140067791
0 days 00:01:00.584000,0 days 01:57:26.676000,3966.2704174561177,196.32999936,10587.08488832,5,79.69500544,False,0,2538.0,5552.0,1905.0
0 days 00:01:00.651000,0 days 01:57:26.743000,3969.9416666666666,197.0,10704.0,5,74.0,False,0,2533.854425550992,5515.476228096139,1904.8554937367421
0 days 00:01:00.811000,0 days 01:57:26.903000,3978.7416666666663,198.0,10784.0,5,74.0,False,0,2520.252554686423,5429.640985971729,1904.0668950643708
0 days 00:01:00.824000,0 days 01:57:26.916000,3979.4597826529734,198.13928502857144,10791.753533257142,5,74.27857005714286,False,0,2519.0,5423.0,1904.0
0 days 00:01:01.004000,0 days 01:57:27.096000,3989.464637631623,200.06785645714285,10899.110676114286,5,78.13571291428572,False,0,2495.0,5327.0,1903.0
0 days 00:01:01.091000,0 days 01:57:27.183000,3994.3749999999995,201.0,10951.0,5,80.0,False,0,2471.05662602969,5260.980505487929,1902.301962541263
0 days 00:01:01.264000,0 days 01:57:27.356000,4004.308816776008,205.3249984,11144.904094933334,5,85.04583146666667,False,0,2416.0,5127.0,1901.0
0 days 00:01:01.331000,0 days 01:57:27.423000,4008.1749999999997,207.0,11220.0,5,87.0,False,0,2403.468030985354,5098.70157288004,1900.853128065336
0 days 00:01:01.523000,0 days 01:57:27.615000,4019.255427662813,208.37142857142857,11283.771428571428,5,95.22857142857143,False,0,2378.0,5056.0,1901.0
0 days 00:01:01.611000,0 days 01:57:27.703000,4024.4305555555547,209.0,11313.0,5,99.0,False,0,2354.629277540799,5020.429744545899,1900.815460206993
0 days 00:01:01.803000,0 days 01:57:27.895000,4036.049394937294,217.64,10237.8,5,99.96,False,0,2285.0,4920.0,1900.0
0 days 00:01:01.811000,0 days 01:57:27.903000,4036.541666666666,218.0,10193.0,5,100.0,False,0,2282.0706407248,4916.127518048242,1899.9666463668336
0 days 00:01:02.123000,0 days 01:57:28.215000,4056.043028203704,224.825,10589.825,5,100.0,False,0,2153.0,4772.0,1899.0
0 days 00:01:02.131000,0 days 01:57:28.223000,4056.541666666666,225.0,10600.0,6,100.0,False,0,2148.431198585307,4767.442390187507,1898.9937598581437
0 days 00:01:02.283000,0 days 01:57:28.375000,4065.994457385748,225.0,10748.2,6,99.24,False,0,2053.0,4672.0,1899.0
0 days 00:01:02.331000,0 days 01:57:28.423000,4069.041666666666,225.0,10795.0,6,99.0,False,0,2025.5018501478446,4641.596484067045,1898.9712074493884
0 days 00:01:02.692000,0 days 01:57:28.784000,4093.1083333333327,240.0,11103.0,6,99.0,False,0,1880.9050896624572,4425.2748128713265,1898.128325352911
0 days 00:01:02.743000,0 days 01:57:28.835000,4096.511540580223,240.0,11237.1939184,6,99.3187504,False,0,1867.0,4397.0,1898.0
0 days 00:01:02.852000,0 days 01:57:28.944000,4103.774999999999,240.0,11524.0,6,100.0,False,0,1841.9262521206283,4338.64181699767,1897.7444173497984
0 days 00:01:03.092000,0 days 01:57:29.184000,4120.041666666665,244.0,11420.0,6,99.0,False,0,1804.0378909823098,4214.730758470556,1897.1677274838432
0 days 00:01:03.143000,0 days 01:57:29.235000,4123.5537199395785,245.28033599187654,11455.209239776605,6,99.0,False,0,1797.0,4187.0,1897.0
0 days 00:01:03.331000,0 days 01:57:29.423000,4136.638888888888,250.0,11585.0,6,99.0,False,0,1772.9283767583354,4079.127525368592,1896.2435055458864
0 days 00:01:03.443000,0 days 01:57:29.535000,4144.490509281279,251.4,11585.0,6,99.46666666666667,False,0,1760.0,4009.0,1896.0
